date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:59:58	5210/5210	---M--	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2001:59:57%20GMT	https://jordanusabank.com/wp-json/wp/v2/pages/62	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/wp/v2/pages/62.json	(from https://jordanusabank.com/login/)
09:59:59	2317/2317	---M--	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2001:59:59%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Flogin%2F	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embed471f.json	(from https://jordanusabank.com/login/)
10:00:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Feb%202022%2001:59:59%20GMT	https://jordanusabank.com/?p=62	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/index5c36.html	(from https://jordanusabank.com/login/)
10:00:01	2390/2390	---M-Z	200	added ('OK')	text/xml	date:Tue,%2008%20Feb%202022%2002:00:00%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Flogin%2F&format=xml	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embed8894	(from https://jordanusabank.com/login/)
10:00:02	2997/2997	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Jan%202022%2023:07:29%20GMT	https://jordanusabank.com/heerevoa/elementor/css/post-64.css?ver=1641251249	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/heerevoa/elementor/css/post-64a83d.css	(from https://jordanusabank.com/forgot-password/)
10:00:03	145380/145380	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2002:00:02%20GMT	https://jordanusabank.com/login/?redirect_to=https%253A%252F%252Fjordanusabank.com%252Flogin	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/login/indexe627.html	(from https://jordanusabank.com/login/)
10:00:04	6316/6316	---M--	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2002:00:03%20GMT	https://jordanusabank.com/wp-json/wp/v2/pages/64	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/wp/v2/pages/64.json	(from https://jordanusabank.com/forgot-password/)
10:00:06	2352/2352	---M--	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2002:00:05%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Fforgot-password%2F	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embedd704.json	(from https://jordanusabank.com/forgot-password/)
10:00:06	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Feb%202022%2002:00:05%20GMT	https://jordanusabank.com/?p=64	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/index8cd4.html	(from https://jordanusabank.com/forgot-password/)
10:00:07	2425/2425	---M-Z	200	added ('OK')	text/xml	date:Tue,%2008%20Feb%202022%2002:00:07%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Fforgot-password%2F&format=xml	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embed5112	(from https://jordanusabank.com/forgot-password/)
10:00:09	19669/19669	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2019:22:11%20GMT	https://jordanusabank.com/heerevoa/2021/08/1167157.png	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/heerevoa/2021/08/1167157.png	(from https://jordanusabank.com/forgot-password/)
10:00:10	139452/139452	---MCZ	200	added ('OK')	text/html	date:Tue,%2008%20Feb%202022%2002:00:09%20GMT	https://jordanusabank.com/login/?redirect_to=https%253A%252F%252Fjordanusabank.com%252Fforgot-password	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/login/index54e6.html	(from https://jordanusabank.com/forgot-password/)
10:00:10	6469/6469	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Jan%202022%2021:49:55%20GMT	https://jordanusabank.com/heerevoa/elementor/css/post-255.css?ver=1641246595	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/heerevoa/elementor/css/post-255ff90.css	(from https://jordanusabank.com/about-us/)
10:00:12	16835/16835	---MC-	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2002:00:12%20GMT	https://jordanusabank.com/wp-json/wp/v2/pages/255	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/wp/v2/pages/255.json	(from https://jordanusabank.com/about-us/)
10:00:14	2317/2317	---M--	200	added ('OK')	application/json	date:Tue,%2008%20Feb%202022%2002:00:13%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Fabout-us%2F	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embedea22.json	(from https://jordanusabank.com/about-us/)
10:00:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2008%20Feb%202022%2002:00:13%20GMT	https://jordanusabank.com/?p=255	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/index0c93.html	(from https://jordanusabank.com/about-us/)
10:00:16	2390/2390	---M-Z	200	added ('OK')	text/xml	date:Tue,%2008%20Feb%202022%2002:00:15%20GMT	https://jordanusabank.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fjordanusabank.com%2Fabout-us%2F&format=xml	C:/Users/user/OneDrive/Desktop/jordan/jordan/jordanusabank.com/wp-json/oembed/1.0/embedaceb	(from https://jordanusabank.com/about-us/)
